53.5712879,9.9808200,Heinrich-Barth-Straße 17,Albert Rosenberg,""
53.5712170,9.9796018,Rutschbahn 5,Albert Rosenstein,""
53.5716911,9.9767895,Bogenstraße 5,Albert Rosenstein,""
53.549869,9.999657,Steinstraße 27,Albert Wienecke,""
53.5532901,9.9828764,Neustädter Straße 31,Albert Wölck,""
53.5515701,9.9793066,Markusstraße 10,Albert Zirz,""
53.551813,9.977286,Neanderstraße 35,Albert von Halle,""
53.579744,9.988566,Rothenbaumchaussee 217,Albertine Vyth,""
53.5690530,10.0507443,Fichtestraße 8,Albrecht Gebhard,""
53.5697468,9.9883889,Rothenbaumchaussee 83,Alegra Benezra,""
53.557357,9.975285,Karolinenstraße 4,Alex Löwenberg,""
53.5601192,10.0204468,Sechslingspforte 5,Alexander Blankenstein,""
53.5601875,9.9753368,Karolinenstraße 35,Alexander Cohen,""
53.579743,9.974846,Hoheluftchaussee 14,Alexander Funke,""
53.5851514,10.0228055,Jean-Paul-Weg 10,Alexander Grünberg,""
53.568252,9.965855,Schäferstraße 31,Alexander Herzberg,""
53.5658808,9.9849194,Von-Melle-Park 5,Alexander Jutrosinski,""
53.5794671,9.9767180,Lehmweg 6,Alexander Kayser,""
53.5794555,9.9745494,Hoheluftchaussee 19,Alexander Moses   gen. Süsskind,""
53.5671071,9.9807586,Grindelallee 73,Alexander Norden,""
53.5510865,9.9464972,Jessenstraße 1,Alexandre Lambert,""
53.5411726,10.0474204,Großmannstraße,Alfons Ganser,""
53.573161,9.983927,Parkallee 5,Alfons Haas,""
53.578414,9.969445,Kottwitzstraße 19,Alfons Hirschel,""
53.561837,9.964982,Bartelsstraße 10,Alfons Höpfner,""
53.5701924,9.9814610,Rappstraße 7,Alfons Liebenthal,""
,,Papenstraße 33,Alfons Ode,""
,,Winsener Straße 30,Alfons Teschke,""
53.5528590,9.9299000,Bahrenfelder Straße 128,Alfred Alward,""
53.5878647,9.9855454,Eppendorfer Landstraße 46,Alfred Aron,""
53.5469485,9.9544914,Lange Straße 23,Alfred Beckmann,""
53.5835420,9.9862349,Isestraße 80,Alfred Beer,""
53.5700688,9.9815561,Rappstraße 10,Alfred Behrens,""
53.561821,9.965940,Schanzenstraße 62,Alfred Belmonte,""
53.5566115,10.0519019,Hirtenstraße 58,Alfred Berend,""
53.5956615,9.9871932,Erikastraße 79,Alfred Bielefeld,""
,,Neue Straße 8,Alfred Blumann,""
53.5716913,9.9858704,Hallerplatz 8,Alfred Blumann,""
53.5659307,9.9756069,Papendamm 24,Alfred Borchardt,""
53.5510747,9.9655364,Simon-von-Utrecht-Straße 66,Alfred Böddicker,""
53.5744160,9.9595533,Schulweg 38,Alfred Cohn,""
53.5665009,9.9804040,Rentzelstraße 7,Alfred Deutsch,""
53.5827600,9.9836819,Isestraße 67,Alfred Felsenthal,""
53.4580079,9.9859178,Rieckhoffstraße 5,Alfred Findling,""
53.5477793,9.9770862,Böhmkenstraße 6,Alfred Flanse,""
53.5723649,9.9797089,Hallerstraße 6,Alfred Friedensohn,""
53.5743130,9.9618416,Eppendorfer Weg 88,Alfred Funke,""
53.5585087,10.0139344,Schmilinskystraße 45,Alfred Gerson,""
,,Dithmarscher Straße 48,Alfred Godemann,""
,,Hastedtstraße 42,Alfred Gordon,""
53.5703949,9.9785315,Grindelallee 153,Alfred Hammer,""
53.5659036,10.0558050,Friedenstraße 41,Alfred Henschel,""
53.574128,9.986632,Hansastraße 27,Alfred Heymann,""
53.5593681,10.0141641,Lange Reihe 108,Alfred Hochfeld,""
53.5818648,9.9822569,Isestraße 53,Alfred Israel,""
53.5574901,9.9898815,Colonnaden 47,Alfred Jacobson,""
53.5842255,9.9785238,Eppendorfer Weg 265,Alfred Joseph Michelson,""
53.5869331,10.0302807,Hauersweg 6,Alfred Kupferbach,""
53.5486070,9.9563101,Herrenweide 13,Alfred Kästel,""
53.5783851,9.9772419,Isestraße 3,Alfred Landau,""
53.5859472,9.9845403,Haynstraße 11,Alfred Leven,""
53.5534019,10.0717406,Beim Rauhen Hause 30,Alfred Levy,""
53.5908153,9.9888346,Schrammsweg 10,Alfred Lion,""
53.5688224,9.9799454,Grindelallee 134,Alfred London,""
53.5858252,10.0246824,Novalisweg 1,Alfred Moser,""
53.5953013,10.0592777,Fabriciusstraße 22,Alfred Neugarten,""
53.5503459,9.9816490,Alter Steinweg 13,Alfred Neumann,""
53.561633,9.59227,Lippmannstraße 69,Alfred Norden,""
53.5684530,9.9813277,Bornstraße 22,Alfred Pein,""
,,Eißendorfer Pferdeweg 12,Alfred Rahnert,""
53.5474654,9.9420098,Behnstraße 17,Alfred Rosentreter,""
53.551061,9.982214,Steinwegpassage 28,Alfred Samenfeld,""
53.4597873,9.9742979,Kroosweg 1,Alfred Schloss,""
53.6550365,10.1831194,Wulfsdorfer Weg 79,Alfred Schär,""
53.553154,9.961157,Wohlwillstraße 9,Alfred Simon,""
53.5349772,10.0432105,Marckmannstraße 88a,Alfred Stoppelman,""
53.5841714,10.0613810,Elsässer Straße 11,Alfred Wehrmaker,""
53.5659621,9.9866449,Schlüterstraße 22,Alfred Wolff,""
53.5788810,9.9779226,Isestraße 11,Alfriede Wagener   geb. Grübel,""
53.6012313,10.0008459,Braamkamp 36,Alice Ascher,""
53.5510582,9.9655474,Simon-von-Utrecht-Straße 66,Alice Bandmann,""
53.5725276,9.9869013,Hallerstraße 76,Alice Baruch,""
53.5999330,9.9985375,Efeuweg 16,Alice Baum   geb. Haarburger,""
53.5804154,9.9862956,Hochallee 104,Alice Bendheim   geb. Israel,""
53.5583863,9.9743577,Marktstraße 5,Alice Bloch,""
53.5834504,9.9843125,Eppendorfer Baum 19,Alice Cohn   geb. Gottschalk,""
53.5877636,9.9871703,Woldsenweg 9,Alice Feldmann   geb. Furmanski,""
53.6020706,10.0045837,Krochmannstraße 68,Alice Gersztenzang   geb. Jacoby,""
53.5499018,9.9797064,Großneumarkt 38,Alice Graff   geb. Müller,""
53.5679484,9.9794539,Martin-Luther-King-Platz 3,Alice Gramm,""
53.5885763,10.0018009,Sierichstraße 108,Alice Hammerschlag   geb. Wagner,""
53.5650977,10.0176908,Armgartstraße 2,Alice Hertz   geb. Steinberg,""
53.5753643,9.9860653,Hochallee 29,Alice Hertz   geb. Steinberg,""
53.562089,10.036344,Landwehr 16,Alice Joel,""
53.5655745,9.9799008,Bundesstraße 25,Alice Lissauer,""
53.5795477,9.9788963,Isestraße 23,Alice Maschke   geb. Fränkel,""
53.5688397,10.0460977,Schellingstraße 12,Alice Nelki,""
53.5818047,9.9799328,Klosterallee 108,Alice Nürenberg   geb. Leipziger,""
53.5822188,10.0065891,Sierichstraße 58,Alice Oppenheimer   geb. Oppenheim,""
53.5715832,9.9518842,Fruchtallee 115,Alice Reinmann   geb. Baer,""
53.5725189,9.9869006,Hallerstraße 76,Alice Rosenbaum geb. Kallmes,""
53.5811819,9.9865556,Jungfrauenthal 17,Alice Streim,""
53.5865524,9.9868355,Loogestieg 12,Alice Vorwahlner   geb. Deutsch,""
